id,texto,numero,id_capitulo
1,"“Para que serve um livro sem figuras nem diálogos?”,",9,1
2,"Alice pensou.",9,1
3,"Ela considerava o tanto quanto podia (afinal, o dia quente a deixava zonza e sonolenta) se o prazer de montar uma guirlanda de margaridas valeria o esforço de se levantar para colhê-las. Foi quando, de repente, um Coelho Branco de olhos cor-de-rosa passou correndo perto dela.",9,1
4,"Não havia nada de tão incrível nisso. Alice também não achou nada de mais ouvir o Coelho Branco conversar sozinho: — Ai, rapaz! Ai, rapaz! Vou me atrasar — ele dizia.",9,1
5,"Depois, ao pensar melhor, passou pela cabeça de Alice que ela deveria ter se impressionado mesmo que só um pouquinho com aquilo. Na hora, entretanto, tudo lhe pareceu completamente normal.",9,1
6,"Alice só se alvoroçou quando o Coelho Branco sacou um relógio do bolso de seu colete, checou as horas e saiu apressado. Ela se deu conta de que nunca tinha visto um coelho com um relógio no bolso do colete. Ardendo de curiosidade, correu atrás dele a tempo de vê- lo se emburacar toca adentro no pé de uma cerca.",9,1
7,"No instante seguinte, era Alice quem se entocava ali. Decidiu perseguir o Coelho Branco sem refletir sobre como sairia daquele buraco.",10,1
8,"A toca tinha um trecho reto semelhante a um túnel. Depois, inclinava-se bruscamente para baixo, tão bruscamente que Alice não foi sequer capaz de pensar em frear. Simplesmente despencou em um poço de grande profundidade.",10,1
9,"Aliás, das duas uma: ou o poço era demasiado fundo ou ela estava caindo bem devagarinho. A queda era tão demorada, mas tão demorada que Alice conseguia observar tudo a seu redor e pensar tranquilamente no que aconteceria depois. Primeiro, tentou olhar para baixo, para descobrir onde ia parar, mas era impossível enxergar o que havia no fundo escuro. Então ela percebeu que as laterais do poço estavam repletas de prateleiras, estantes de livros, mapas e obras de arte.",10,1
10,"De passagem, Alice puxou um jarro das prateleiras. Seu rótulo dizia geleia de laranja; contudo, para sua decepção, estava vazio. Ela não queria deixar o jarro cair. Tinha medo de matar alguém, então o devolveu às estantes durante a queda. “Depois desse tombo, não vou mais me importar quando cair da escada! Em casa todo mundo vai me achar muito valente”, pensou consigo mesma. “Ora, mas eu nunca contaria nada, mesmo se caísse de cima da casa”. E Alice não contaria mesmo.",10,1
11,"E caía, caía, caía. Será que aquela queda não acabaria nunca? — Quantos quilômetros eu despenquei? Já devo estar me aproximando do centro da Terra. Deixe-me ver: acho que isso deve ser por volta de uns seis mil quilômetros — dizia em voz alta.",10,1
12,"Veja você que Alice aprendera várias coisas na escola e, apesar de essa não ser a melhor oportunidade para demonstrar seu conhecimento, afinal ninguém a estava escutando, ela sentia que recitar em voz alta parecia um ótimo exercício de memória. — Sim, a distância é mais ou menos essa, em latitude e longitude.",11,1
13,"Será que eu cheguei?",11,1
14,"Alice não tinha ideia do que era latitude ou longitude, mas considerava essas palavras monumentais ao serem ditas em voz alta.",11,1
15,"Logo ela retomava a prosa: — Será que vou atravessar a Terra nesse tombo? Vai ser muito engraçado sair do outro lado, no meio das pessoas que andam de cabeça para baixo: os antipáticos! — Dessa vez foi um alívio não ter ninguém para ouvi-la, pois “antipáticos” não soou nem um pouco como a palavra correta. — Precisarei perguntar a eles o nome do país: “Olá, senhorita, aqui é a China ou o Japão?”. — Alice fazia reverência enquanto falava e despencava! Se você estivesse em queda livre, acha que seria capaz de fazer o mesmo? — A moça vai me achar muito ignorante por perguntar — dizia ela. — Não vai dar certo. Talvez eu veja o nome do país escrito em algum lugar.",11,1
16,"Ela caía, caía, caía e, como não tinha mais nada para fazer, voltava a tagarelar: — A Diná vai sentir muito minha falta esta noite — disse, lembrando-se de sua gata. — Espero que eles se lembrem de dar leite para ela. Diná, minha querida! Como eu queria você aqui embaixo comigo! Não tem rato no ar, mas você bem que poderia",11,1
17,"caçar um morcego, que é quase um rato. Será que gato come morcego? — perguntou.",12,1
18,"Em seguida, já bastante sonolenta, repetiu como se sonhasse: — Será que gato come morcego? Será que cego come morgato?",12,1
19,"Será que gago come morceto? Será que morcego come gato? — questionava-se, embaralhando os bichos. Afinal de contas, quando não sabemos exatamente como responder a uma pergunta, não importa muito o jeito de dizê-la, não é mesmo?",12,1
20,"Ela adormeceu lentamente e sonhou caminhar de mãos dadas com Diná, dizendo a ela com muita franqueza: — Vai, Diná, me diz a verdade: você já comeu um morcego?",12,1
21,"Então, de repente: plunct! Aterrissou em um amontoado de gravetos e folhas secas. A queda havia chegado ao fim.",12,1
22,"Sem nenhum arranhão, ela se levantou em um instante. Olhou para cima, mas sobre sua cabeça tudo estava escuro. Atrás de Alice havia outra passagem longa, onde ainda se podia ver o Coelho",12,1
23,"Branco descendo bem depressa. Não dava para perder nem um segundo: lá foi a menina, veloz como o vento, bem a tempo de ouvi- lo dizer, ao fazer a curva: — Pelos meus bigodes! Vou me atrasar!",12,1
24,"Alice estava perto dele ao fazer a curva, mas o Coelho Branco já não podia mais ser visto. Então, chegou a um salão comprido e baixo, iluminado por uma fileira de lâmpadas penduradas no teto.",12,1
25,"Havia portas por todos os lados, mas todas estavam trancadas.",12,1
26,"Após tentar abrir cada uma delas, Alice caminhou com tristeza até o meio do cômodo pensando em como poderia sair dali.",12,1
27,"De repente, foi surpreendida por uma mesa de três pés, toda feita de vidro e sobre a qual havia apenas uma chavezinha dourada.",13,1
28,"O primeiro pensamento de Alice foi que pertencia a uma das portas do salão. Mas, poxa vida, ou as trancas eram largas demais ou a chave era muito miúda. Isso tornava impossível abrir qualquer uma das portas. Foi nesse momento que Alice percebeu uma pequena cortina na parede. Atrás dela havia uma portinha com uns quarenta centímetros de altura: a menina experimentou a chave na fechadura e, para sua enorme satisfação, encaixaram perfeitamente!",13,1
29,"Abriu a porta e descobriu uma pequena passagem, não muito maior que uma toca de rato. Ajoelhou-se e viu o mais lindo jardim.",13,1
30,"Desejou poder sair do salão escuro e passear entre aquelas flores coloridas e fontes refrescantes, mas a porta era minúscula e nem sequer sua cabeça passava por ela. “E mesmo se minha cabeça passasse”, pensou, “não serviria de muita coisa sem meus ombros. Ah, como eu queria poder encolher feito uma luneta de pirata! Acho que conseguiria se soubesse como começar…” Após tantos acontecimentos excepcionais, Alice começou a pensar que pouquíssimas coisas eram, de fato, impossíveis.",13,1
31,"Parecia não haver motivo para esperar perto da porta. Assim, ela voltou à mesa, esperando encontrar outra chave ou um livro de instruções sobre como diminuir as coisas, como quando guardamos uma luneta. Estava perdida em meio às ideias mais malucas, quando encontrou uma garrafa. — Que certamente não estava por aqui antes — ela disse. Seu rótulo de papel continha a palavra beba-me lindamente impressa.",13,1
32,"Tudo bem que na garrafa se lia beba-me, mas a esperta Alice não faria isso com pressa. “Não, primeiro eu vou procurar se está escrito ‘veneno’ em algum lugar”, pensou, pois lera boas historinhas sobre crianças que se queimaram, foram engolidas por bestas selvagens e outras coisas desagradáveis porque não respeitaram regras básicas ensinadas por seus amigos. Por exemplo, um ferro quente nos queima se for segurado por muito tempo, ou se você cortar seu dedo bem fundo com uma faca, ele certamente vai sangrar. Alice nunca esqueceu que, se a gente beber muito de uma garrafa com a marca “veneno”, é quase certo que vai se desconjuntar mais cedo ou tarde.",14,1
33,"Essa garrafa, porém, não estava rotulada como “veneno”. Assim,",14,1
34,"Alice se aventurou a experimentá-la e achou a bebida muito boa.",14,1
35,"Tinha, ao mesmo tempo, um gosto de torta de cereja, creme de leite, abacaxi, peru assado, caramelo e torrada amanteigada. Ela bebeu tudo bem rápido. * * * * * — Que sensação curiosa! — ela disse. — Estou encolhendo como uma luneta!",14,1
36,"E era verdade: ela agora media vinte e cinco centímetros! Seu rosto se iluminou com o pensamento de que esse era o tamanho certo para passar naquela portinha e entrar no lindo jardim.",14,1
37,"Primeiro ela esperou alguns minutos para ver se encolheria ainda mais. Alice estava um pouco nervosa em relação a isso. “Pode ser que no final eu desapareça”, pensou consigo mesma, “como se fosse uma vela derretida. No que eu me tornaria então?”",14,1
38,"Tentou imaginar o que a chama de uma vela se torna depois de assoprada, coisa que nunca tinha visto antes.",15,1
39,"Depois de um tempo, ao perceber que mais nada aconteceria, ela decidiu adentrar o jardim, mas (poxa vida, pobre Alice!) quando chegou à porta, notou que havia esquecido a chavezinha dourada.",15,1
40,"Quando voltou para buscá-la, percebeu que não a alcançava mais.",15,1
